escola,grupo ,tempo,pergunta,subitem,resposta,resposta_aberta
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,2,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,2,
A,experimento,antes,21,1,4,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,2,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,2,
A,experimento,antes,21,1,4,
A,experimento,antes,21,1,2,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,2,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,4,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,3,
A,experimento,antes,21,1,4,
A,experimento,antes,21,1,5,
A,experimento,antes,21,1,4,
A,controle,antes,21,1,1,
A,controle,antes,21,1,3,
A,controle,antes,21,1,1,
A,controle,antes,21,1,3,
A,controle,antes,21,1,1,
A,controle,antes,21,1,2,
A,controle,antes,21,1,3,
A,controle,antes,21,1,3,
A,controle,antes,21,1,4,
A,controle,antes,21,1,3,
A,controle,antes,21,1,4,
A,controle,antes,21,1,5,
A,controle,antes,21,1,1,
A,controle,antes,21,1,2,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,4,
A,experimento,depois,21,1,4,
A,experimento,depois,21,1,2,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,4,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,5,
A,experimento,depois,21,1,4,
A,experimento,depois,21,1,2,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,5,
A,experimento,depois,21,1,1,
A,experimento,depois,21,1,2,
A,experimento,depois,21,1,3,
A,experimento,depois,21,1,5,
A,controle,depois,21,1,1,
A,controle,depois,21,1,1,
A,controle,depois,21,1,1,
A,controle,depois,21,1,4,
A,controle,depois,21,1,2,
A,controle,depois,21,1,1,
A,controle,depois,21,1,3,
A,controle,depois,21,1,3,
A,controle,depois,21,1,2,
A,controle,depois,21,1,1,
A,controle,depois,21,1,2,
A,controle,depois,21,1,3,
A,controle,depois,21,1,1,
A,experimento,antes,21,2,3,
A,experimento,antes,21,2,3,
A,experimento,antes,21,2,5,
A,experimento,antes,21,2,3,
A,experimento,antes,21,2,2,
A,experimento,antes,21,2,5,
A,experimento,antes,21,2,5,
A,experimento,antes,21,2,4,
A,experimento,antes,21,2,5,
A,experimento,antes,21,2,2,
A,experimento,antes,21,2,3,
A,experimento,antes,21,2,5,
A,experimento,antes,21,2,4,
A,experimento,antes,21,2,4,
A,experimento,antes,21,2,2,
A,experimento,antes,21,2,3,
A,experimento,antes,21,2,4,
A,experimento,antes,21,2,3,
A,experimento,antes,21,2,3,
A,experimento,antes,21,2,4,
A,experimento,antes,21,2,5,
A,experimento,antes,21,2,5,
A,controle,antes,21,2,1,
A,controle,antes,21,2,4,
A,controle,antes,21,2,3,
A,controle,antes,21,2,5,
A,controle,antes,21,2,4,
A,controle,antes,21,2,2,
A,controle,antes,21,2,4,
A,controle,antes,21,2,4,
A,controle,antes,21,2,5,
A,controle,antes,21,2,4,
A,controle,antes,21,2,4,
A,controle,antes,21,2,3,
A,controle,antes,21,2,1,
A,controle,antes,21,2,3,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,5,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,5,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,5,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,4,
A,experimento,depois,21,2,1,
A,experimento,depois,21,2,5,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,5,
A,experimento,depois,21,2,4,
A,experimento,depois,21,2,2,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,5,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,2,
A,experimento,depois,21,2,3,
A,experimento,depois,21,2,5,
A,controle,depois,21,2,1,
A,controle,depois,21,2,3,
A,controle,depois,21,2,1,
A,controle,depois,21,2,5,
A,controle,depois,21,2,2,
A,controle,depois,21,2,4,
A,controle,depois,21,2,4,
A,controle,depois,21,2,4,
A,controle,depois,21,2,4,
A,controle,depois,21,2,4,
A,controle,depois,21,2,2,
A,controle,depois,21,2,4,
A,controle,depois,21,2,3,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,4,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,4,
A,experimento,antes,21,3,4,
A,experimento,antes,21,3,4,
A,experimento,antes,21,3,2,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,2,
A,experimento,antes,21,3,4,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,2,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,4,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,3,
A,experimento,antes,21,3,4,
A,experimento,antes,21,3,5,
A,experimento,antes,21,3,3,
A,controle,antes,21,3,1,
A,controle,antes,21,3,1,
