"ano","pais","sigla","regiao","democracia","pib","populacao","variavel_dependente","despesas","mortes"
1972,"Mexico","MEX","Americas",0.249,840,53543436,1,0,111
1973,"Australia","AUS","Oceania",0.87,4650,13380000,1,0,48
1973,"Iceland","ISL","Europe",0.832,NA,212317,0,0,0
1973,"Italy","ITA","Europe",0.752,3250,54751406,1,0,76
1973,"Japan","JPN","Asia",0.842,3660,108707000,0,0,303
1973,"Mexico","MEX","Americas",0.249,1010,55228203,1,0,2058
1974,"Australia","AUS","Oceania",0.868,5950,13723000,1,0,360
1974,"Chile","CHL","Americas",0.071,1650,10472743,1,0,96
1974,"Iceland","ISL","Europe",0.831,NA,215209,0,0,24
1974,"Japan","JPN","Asia",0.842,4490,110162000,0,0,993
1974,"Mexico","MEX","Americas",0.251,1230,56945880,1,0,39
1975,"Austria","AUT","Europe",0.854,5540,7578903,1,0,45
1975,"Italy","ITA","Europe",0.758,4320,55441001,1,0,24
1975,"Japan","JPN","Asia",0.842,5230,111573000,0,0,294
1975,"Mexico","MEX","Americas",0.251,1480,58691882,1,0,87
1975,"Romania","ROU","Europe",0.187,NA,21293583,0,0,120
1975,"Switzerland","CHE","Europe",0.861,NA,6338632,1,0,39
1975,"Thailand","THA","Asia",0.283,400,40908471,1,0,478
1976,"Australia","AUS","Oceania",0.867,7870,14033000,1,0,0
1976,"Austria","AUT","Europe",0.856,5980,7565525,1,0,0
1976,"Belgium","BEL","Europe",0.855,7580,9818227,1,0,0
1976,"Denmark","DNK","Europe",0.909,8960,5072596,1,0,0
1976,"France","FRA","Europe",0.856,7170,53966558,1,0,0
1976,"Iceland","ISL","Europe",0.829,NA,220154,0,0,2
1976,"Japan","JPN","Asia",0.841,5480,112775000,0,0,507
1976,"Mexico","MEX","Americas",0.262,1560,60452543,1,0,2160
1976,"Netherlands","NLD","Europe",0.848,8170,13774037,1,0,0
1976,"Sweden","SWE","Europe",0.911,10720,8222286,0,0,0
1976,"Switzerland","CHE","Europe",0.857,NA,6302504,1,0,0
1977,"Australia","AUS","Oceania",0.867,8080,14192000,1,0,12
1977,"Chile","CHL","Americas",0.072,1060,10969861,1,0,45
1977,"France","FRA","Europe",0.856,7840,54221988,1,0,52
1977,"Japan","JPN","Asia",0.839,6020,113872000,0,0,123
1977,"Mexico","MEX","Americas",0.276,1490,62262505,1,0,30
1977,"Romania","ROU","Europe",0.187,NA,21756096,0,0,3282
1977,"South Africa","ZAF","Africa",0.162,1650,27199838,1,0,12
1977,"Sweden","SWE","Europe",0.91,11290,8251540,0,0,26
1977,"Switzerland","CHE","Europe",0.863,NA,6281174,1,0,0
1977,"Thailand","THA","Asia",0.125,470,42843802,1,0,200
1978,"Australia","AUS","Oceania",0.865,8470,14358000,1,0,48
1978,"Chile","CHL","Americas",0.072,1360,11137748,1,0,12
1978,"France","FRA","Europe",0.859,8860,54486195,1,0,6
1978,"Japan","JPN","Asia",0.839,7550,114913000,0,0,201
1978,"Mexico","MEX","Americas",0.295,1600,64123997,1,0,45
1978,"South Africa","ZAF","Africa",0.161,1750,27943445,1,0,78
1978,"Thailand","THA","Asia",0.125,540,43806715,1,0,292
1979,"Australia","AUS","Oceania",0.865,9600,14514000,1,0,60
1979,"Chile","CHL","Americas",0.073,1780,11304331,1,0,90
1979,"France","FRA","Europe",0.86,10850,54753575,1,0,22
1979,"Japan","JPN","Asia",0.84,9570,115890000,0,0,282
1979,"Mexico","MEX","Americas",0.296,1900,65972912,1,0,15
1979,"Portugal","PRT","Europe",0.755,2870,9661265,0,0,46
1980,"Austria","AUT","Europe",0.0859,11460,7549433,1,0,0
1980,"Denmark","DNK","Europe",0.0906,15090,5123027,1,0,0
1980,"France","FRA","Europe",0.086,13100,55052582,1,0,12
1980,"Japan","JPN","Asia",0.0841,11000,116807000,0,0,87
1980,"Mexico","MEX","Americas",0.03,2560,67705186,1,0,513
1980,"Portugal","AZO","Europe",0.0841,3350,9766312,0,0,138
1980,"South Africa","ZAF","Africa",0.016,2660,29463549,1,0,0
1980,"Spain","ESP","Europe",0.0871,6210,37491165,1,0,0
1980,"Thailand","THA","Asia",0.0251,740,45737753,1,0,114
1981,"Australia","AUS","Oceania",0.875,11870,14923260,1,0,8
1981,"Austria","AUT","Europe",0.859,11180,7568710,1,0,0
1981,"Denmark","DNK","Europe",0.906,14180,5121572,1,0,18
1981,"France","FRA","Europe",0.867,13200,55371044,1,0,0
1981,"Japan","JPN","Asia",0.841,11300,117661000,0,0,609
1981,"Mexico","MEX","Americas",0.304,3300,69233769,1,0,309
1981,"Portugal","PRT","Europe",0.843,3420,9851362,0,0,60
1981,"South Africa","ZAF","Africa",0.176,3050,30232561,1,0,312
1981,"Spain","ESP","Europe",0.871,6310,37758631,1,0,0
1981,"Thailand","THA","Asia",0.293,780,46727292,1,0,110
1982,"Australia","AUS","Oceania",0.875,12080,15184247,1,0,4
1982,"Austria","AUT","Europe",0.859,10380,7574140,1,0,36
1982,"Chile","CHL","Americas",0.074,2040,11807408,1,0,0
1982,"France","FRA","Europe",0.873,12050,55694106,1,0,60
1982,"Japan","JPN","Asia",0.841,10690,118480000,0,0,2019
1982,"Mexico","MEX","Americas",0.313,3030,70656783,1,0,1107
1982,"South Africa","ZAF","Africa",0.176,2940,31022417,1,0,0
1982,"Spain","ESP","Europe",0.882,5680,37986012,1,0,231
1982,"Switzerland","CHE","Europe",0.87,NA,6391309,1,0,0
1983,"Australia","AUS","Oceania",0.876,11570,15393472,1,0,300
1983,"Austria","AUT","Europe",0.859,9600,7561910,1,0,0
1983,"Belgium","BEL","Europe",0.861,9430,9855520,1,0,2
1983,"Chile","CHL","Americas",0.074,1640,11976513,1,0,12
1983,"Denmark","DNK","Europe",0.91,11710,5114297,1,0,4
1983,"France","FRA","Europe",0.873,10450,55992656,1,0,110
1983,"Iceland","ISL","Europe",0.851,NA,236977,0,0,8
1983,"Ireland","IRL","Europe",0.835,5720,3510600,0,0,20
1983,"Israel","ISR","Asia",0.771,NA,4105000,0,0,0
1983,"Japan","JPN","Asia",0.841,10360,119307000,0,0,1395
1983,"Luxembourg","LUX","Europe",0.874,13410,365622,1,0,0
1983,"Mexico","MEX","Americas",0.32,2410,72080310,1,0,975
1983,"Portugal","PRT","Europe",0.861,2830,9957865,0,0,38
1983,"Romania","ROU","Europe",0.186,NA,22560478,0,0,0
1983,"South Africa","ZAF","Africa",0.176,2700,31865176,1,0,30
1983,"Spain","ESP","Europe",0.887,4860,38171525,1,0,135
1983,"Switzerland","CHE","Europe",0.871,NA,6418773,1,0,0
1983,"Thailand","THA","Asia",0.328,790,48670565,1,0,100
1984,"Australia","AUS","Oceania",0.884,12000,15579391,1,0,144
1984,"Austria","AUT","Europe",0.859,9270,7561434,1,0,126
1984,"Belgium","BEL","Europe",0.861,8860,9855372,1,0,0
1984,"Chile","CHL","Americas",0.075,1450,12147758,1,0,381
1984,"France","FRA","Europe",0.873,9830,56275701,1,0,8
1984,"Hungary","HUN","Europe",0.137,NA,10668095,0,0,8
1984,"Iceland","ISL","Europe",0.851,NA,239511,0,0,0
